winner,loser,highlights
"Anthony Joshua","Wladimir Klitschko","RogJU2LTJuQ"
"Wladimir Klitschko","David Haye","4O92EDF-R-M"
"Tony Bellew","David Haye","3PTKalQi2pw"
"Anthony Joshua","Carlos Takam","uhazx5agVR0"
"Anthony Joshua","Joseph Parker","gVm7x-QJ_1s"
"Anthony Joshua","Dillian Whyte","ivGN6aVw2uI"
"Deontay Wilder","Luis Ortiz","-NHtTunyuu4"
"Deontay Wilder","Bermane Stiverne","mS4i7a-L-9M"
"Wladimir Klitschko","Alexander Povetkin","gYrHqpTXCAI"
"Joseph Parker","Carlos Takam","nDrd72QFCIE"
"Tyon Fury","Wladimir Klitschko","tUD2tGd8RKw"
"Dillian Whyte","Joseph Parker","9uUhXT6JroU"
"Dereck Chisora","Carlos Takam","6GVQC9eAfKo"
"Tyon Fury","Dereck Chisora","a9EyFu8ZU84"
"Dillian Whyte","Dereck Chisora","aoGSZqyVV2c"
